timestamp,rudder_angle_setpoint_rad,rate_of_turn
1789134881103821,0.10981171578168869,0.10981171578168869
1789134881113821,0.12321822345256805,0.12321822345256805
1789134881123821,0.15184158086776733,0.15184158086776733
1789134881133821,0.10994186997413635,0.10994186997413635
1789134881145821,0.008075118064880371,0.008075118064880371
1789134881153821,0.03082011640071869,0.03082011640071869
1789134881163821,0.0005128789925947785,0.0005128789925947785
1789134881171821,0.020536942407488823,0.020536942407488823
1789134881183821,0.06276416778564453,0.06276416778564453
1789134881193821,0.0005128408665768802,0.0005128408665768802
1789134881205821,-0.06165481358766556,-0.06165481358766556
1789134881213821,0.0588102787733078,0.0588102787733078
1789134881223821,0.04940265044569969,0.04940265044569969
1789134881233821,0.06926127523183823,0.06926127523183823
1789134881241821,-0.001352308550849557,-0.001352308550849557
1789134881253821,0.028419440612196922,0.028419440612196922
1789134881265821,-0.05108553543686867,-0.05108553543686867
1789134881275821,-0.041390638798475266,-0.041390638798475266
1789134881283821,-0.02593223750591278,-0.02593223750591278
1789134881293821,-0.014061915688216686,-0.014061915688216686
1789134881303821,0.009086805395781994,0.009086805395781994
1789134881313821,-0.025957485660910606,-0.025957485660910606
1789134881325821,-0.11276648193597794,-0.11276648193597794
1789134881335821,0.013003249652683735,0.013003249652683735
1789134881341821,0.03357842192053795,0.03357842192053795
1789134881353821,0.053127262741327286,0.053127262741327286
1789134881363821,0.06349391490221024,0.06349391490221024
1789134881373821,-0.05294830724596977,-0.05294830724596977
1789134881385821,-0.03801746293902397,-0.03801746293902397
1789134881395821,-0.05623965710401535,-0.05623965710401535
1789134881401821,-0.04489320516586304,-0.04489320516586304
1789134881413821,-0.03350863978266716,-0.03350863978266716
1789134881423821,0.024397147819399834,0.024397147819399834
1789134881433821,-0.044952113181352615,-0.044952113181352615
1789134881445821,-0.14715446531772614,-0.14715446531772614
1789134881453821,-0.013897113502025604,-0.013897113502025604
1789134881463821,0.0189812108874321,0.0189812108874321
1789134881469821,0.012091523967683315,0.012091523967683315
1789134881483821,0.0695643275976181,0.0695643275976181
1789134881493821,0.04961828142404556,0.04961828142404556
1789134881505821,-0.07598574459552765,-0.07598574459552765
1789134881515821,-0.20774325728416443,-0.20774325728416443
1789134881523821,-0.15762454271316528,-0.15762454271316528
1789134881533821,-0.14321748912334442,-0.14321748912334442
1789134881541821,-0.15773627161979675,-0.15773627161979675
1789134881553821,-0.15781539678573608,-0.15781539678573608
