timestamp,rudder_angle_setpoint_rad
1789132672539044,-0.0027094276156276464
1789132672550981,-0.0027095763944089413
1789132672563093,-0.0027097275014966726
1789132672565964,-0.0027097633574157953
1789132672574993,-0.00270987581461668
1789132672593066,-0.002710101194679737
1789132672601975,-0.00271021225489676
1789132672613989,-0.002710362197831273
1789132672623080,-0.0027104755863547325
1789132672625962,-0.002710511442273855
1789132672634986,-0.00271062389947474
1789132672646982,-0.0027107736095786095
1789132672659049,-0.00271092401817441
1789132672670983,-0.0027110727969557047
1789132672683074,-0.0027112236712127924
1789132672691964,-0.0027113344985991716
1789132672694985,-0.002712029032409191
1789132672706983,-0.0027115216944366693
1789132672719121,-0.002711673267185688
1789132672730983,-0.0027118211146444082
1789132672743128,-0.0027119724545627832
1789132672745975,-0.0027120080776512623
1789132672755195,-0.002716704038903117
1789132672766997,-0.00271685142070055
1789132672779058,-0.002717002062126994
1789132672790982,-0.0027171510737389326
1789132672803073,-0.002717302180826664
1789132672805963,-0.0027173382695764303
1789132672814984,-0.002717450959607959
1789132672833072,-0.002717676805332303
1789132672839052,-0.002717751543968916
1789132672851065,-0.002717901486903429
1789132672863107,-0.0027180518954992294
1789132672875017,-0.002718200907111168
1789132672886997,-0.0027183503843843937
1789132672889971,-0.0027183876372873783
1789132672899052,-0.0027185010258108377
1789132672911006,-0.0027186505030840635
1789132672923118,-0.0027188018430024385
1789132672931975,-0.002718912437558174
1789132672934999,-0.00272353645414114
1789132672946992,-0.002723686397075653
1789132672959075,-0.0027238375041633844
1789132672970989,-0.0027239867486059666
1789132672983178,-0.00272413925267756
1789132672989056,-0.0027242128271609545
1789132672997977,-0.0027243245858699083
1789132673007012,-0.002724437741562724
1789132673019060,-0.002724588382989168
1789132673030991,-0.002724737860262394
1789132673043105,-0.0027248894330114126
1789132673051986,-0.002725000726059079
1789132673055006,-0.002725038444623351
1789132673066999,-0.002725188620388508
1789132673079068,-0.1947050541639328
1789132673090991,-0.10204138606786728
1789132673103102,-0.0027769100852310658
1789132673105991,-0.0027759361546486616
1789132673115061,-0.002776957815513015
1789132673126991,-0.0027768914587795734
1789132673141983,-0.0027770830783993006
1789132673154023,-0.0027772372122853994
1789132673163090,-0.002781939459964633
1789132673175002,-0.0027820919640362263
1789132673186994,-0.002782245632261038
1789132673189973,-0.002782283816486597
1789132673199052,-0.0027823999989777803
1789132673210991,-0.002782552968710661
1789132673223133,-0.002782708266749978
